,author,developer_reply,review,review_date,reviewer_ratings,star
0,광xpower,"<div class=""LVQB0b""><div class=""QoPmEb""></div><div><span class=""X43Kjb"">웰컴 저축은행</span><span class=""p2TkOb"">2021년 3월 5일</span></div>광xpower님, 안녕하세요. 웰컴디지털뱅크입니다. 웰컴디지털뱅크를 사용하면서 느끼신 소중한 의견을 남겨주셔서 감사합니다. 앱 서비스 이용에 불편을 드려 죄송합니다. 빠른 시일 내 편리하게 이용하실 수 있도록 모든 노력을 기울이겠습니다. 앱 재설치 및 업데이트 이후에도 동일한 증상이 계속된다면, 번거로우시더라도 대표 상담 번호 1661-9400 (영업일 09:00 ~ 18:00)로 연락 부탁드립니다. 문의하신 내용에 대해 친절하고 자세한 안내 받아보실 수 있습니다. 감사합니다.</div>"," 이런 한심한 업데이트를 경험하다니요. 안드로이드 6, 7 기기에서 모두 Template name [null] is not matched. 가 나오는 창에서는 버튼이 아예 하나도 안눌려요. 즉, 사용불가입니다. 빨리 수정하세요. 등록, 조회, 이체 모두 불가입니다. 업데이트 전까지는 사용에 문제 없었는데 이런 어처구니 업는 앱(업데이트)는 처음이네요.",2021년 3월 2일,15,별표 5개 만점에 1개를 받았습니다.
1,루리,"<div class=""LVQB0b""><div class=""QoPmEb""></div><div><span class=""X43Kjb"">웰컴 저축은행</span><span class=""p2TkOb"">2021년 3월 5일</span></div>루리님, 안녕하세요. 웰컴디지털뱅크입니다. 웰컴디지털뱅크를 사용하면서 느끼신 소중한 의견을 남겨주셔서 감사합니다. 이체와 장애 처리 과정을 위한 서비스 이용에 불편을 드려 죄송합니다. 당시 앱 동시 접속 이용자 수가 집중되어 일시적으로 일어난 현상으로, 웰컴저축은행은 앱 속도를 개선하기 위해 힘쓰고 있습니다. 빠른 시일 내 편리하게 이용하실 수 있도록 모든 노력을 기울이겠습니다. 앱 재접속 후에도 동일한 증상이 계속된다면, 번거로우시더라도 대표 상담 번호 1661-9400 (영업일 09:00 ~ 18:00)로 연락 부탁드립니다. 문의하신 내용에 대해 친절하고 자세한 안내 받아보실 수 있습니다. 감사합니다.</div>"," 1. 은행어플이 이체가 안됨 2. 몇시간째 같은 현상인 사람들이 많은데 인앱공지라던가 그런 안내사항이 단 한줄도 없음(재화를 다루는 금융기관이?) 3. 상담원 연결 1시간이 넘도록 대기해봤는데 연결도안되고 몇 번째라던가, 몇분이라던가 안내사항 없음 그냥 기다리라고만함 최악의 은행어플입니다. 이번 이체오류건 해결되면 월컴저축은행 전 계좌 해지 후 다신 이용안합니다.",2021년 3월 2일,17,별표 5개 만점에 1개를 받았습니다.
2,최애자,"<div class=""LVQB0b""><div class=""QoPmEb""></div><div><span class=""X43Kjb"">웰컴 저축은행</span><span class=""p2TkOb"">2021년 3월 5일</span></div>최애자님, 안녕하세요. 웰컴디지털뱅크입니다. 웰컴디지털뱅크를 사용하면서 느끼신 소중한 의견을 남겨주셔서 감사합니다. 앱 서비스 이용에 불편을 드려 죄송합니다. 빠른 시일 내 편리하게 이용하실 수 있도록 모든 노력을 기울이겠습니다. 앱 재설치 및 업데이트 이후에도 동일한 증상이 계속된다면, 번거로우시더라도 대표 상담 번호 1661-9400 (영업일 09:00 ~ 18:00)로 연락 부탁드립니다. 문의하신 내용에 대해 친절하고 자세한 안내 받아보실 수 있습니다. 감사합니다.</div>", 안드로이드6버전인데 오늘 업데이트 후 로그인 후 사용불가여서 앱 지우고 다시 깔았더니 인증번호 받은데 통신사 선택 버튼 먹통이어서 사용 불가함. 안드로이드6 버전 휴대폰 몇개를 가지고 해봐도 똑같음. 쓰레기 업데이트로 사용불가함.,2021년 3월 2일,17,별표 5개 만점에 1개를 받았습니다.
3,조준영,"<div class=""LVQB0b""><div class=""QoPmEb""></div><div><span class=""X43Kjb"">웰컴 저축은행</span><span class=""p2TkOb"">2021년 3월 5일</span></div>조준영님, 안녕하세요. 웰컴디지털뱅크입니다.
웰컴디지털뱅크를 사용하면서 느끼신 소중한 의견을 남겨주셔서 감사합니다.
앱 속도 문제로 인해 서비스 이용에 불편을 드려 죄송합니다.
당시 어플 동시 접속 이용자 수가 집중되어 일시적으로 일어난 현상으로, 웰컴저축은행은 앱 속도를 개선하기 위해 힘쓰고 있습니다. 빠른 시일 내 편리하게 이용하실 수 있도록 모든 노력을 기울이겠습니다.
앱 재접속 후에도 동일한 증상이 계속된다면,
번거로우시더라도 대표 상담 번호 1661-9400 (영업일 09:00 ~ 18:00)로 연락 부탁드립니다.
문의하신 내용에 대해 친절하고 자세한 안내 받아보실 수 있습니다.
감사합니다.</div>"," 업데이트 이후에 못쓸정도로 느립니다. 로그인하는데 5분은 더 걸리는거 같고, 기다려서 로그인 이후에도 이체 클릭하려고해도..또 5분이 걸리네요 ㅠㅠ",2021년 3월 2일,2,별표 5개 만점에 2개를 받았습니다.
4,까막알,"<div class=""LVQB0b""><div class=""QoPmEb""></div><div><span class=""X43Kjb"">웰컴 저축은행</span><span class=""p2TkOb"">2021년 3월 5일</span></div>안녕하세요. 웰컴디지털뱅크입니다. 웰컴디지털뱅크를 사용하면서 느끼신 소중한 의견을 남겨주셔서 감사합니다. 앱 서비스 이용에 불편을 드려 죄송합니다. 당시 앱 동시 접속 이용자 수가 집중되어 일시적으로 일어난 현상으로, 웰컴저축은행은 앱 속도를 개선하기 위해 힘쓰고 있습니다. 빠른 시일 내 편리하게 이용하실 수 있도록 모든 노력을 기울이겠습니다. 앱 재접속 후에도 동일한 증상이 계속된다면, 번거로우시더라도 대표 상담 번호 1661-9400 (영업일 09:00 ~ 18:00)로 연락 부탁드립니다. 문의하신 내용에 대해 친절하고 자세한 안내 받아보실 수 있습니다. 감사합니다.</div>", 업데이트 후 되는게 없네요. 지웠다 깔아도 반응 없음 뭔가 웹 페이지를 뛰워야 하는데 네트워크 지연 때문인지 화면이 백지 또는 로딩 여부도 알수 없네요. 이체 근처까지라도 가면 성공이지 이건 뭐,2021년 3월 2일,2,별표 5개 만점에 1개를 받았습니다.
5,42 010,"<div class=""LVQB0b""><div class=""QoPmEb""></div><div><span class=""X43Kjb"">웰컴 저축은행</span><span class=""p2TkOb"">2021년 3월 5일</span></div>42 010님, 안녕하세요. 웰컴디지털뱅크입니다.
웰컴디지털뱅크를 사용하면서 느끼신 소중한 의견을 남겨주셔서 감사합니다.
앱 속도 문제로 인해 서비스 이용에 불편을 드려 죄송합니다.
당시 어플 동시 접속 이용자 수가 집중되어 일시적으로 일어난 현상으로, 웰컴저축은행은 앱 속도를 개선하기 위해 힘쓰고 있습니다. 빠른 시일 내 편리하게 이용하실 수 있도록 모든 노력을 기울이겠습니다.
앱 재접속 후에도 동일한 증상이 계속된다면,
번거로우시더라도 대표 상담 번호 1661-9400 (영업일 09:00 ~ 18:00)로 연락 부탁드립니다.
문의하신 내용에 대해 친절하고 자세한 안내 받아보실 수 있습니다.
감사합니다.</div>", 업데이트 후 앱이 작동이 안되네요 접속도 안되고 자꾸 튕겨 나오네요 로딩 속도도 엄청 느려지고 대기가 왜 이리 긴지 ㅜㅜ 그 전 앱 사용 좋았는데 ㅜㅜ,2021년 3월 2일,2,별표 5개 만점에 1개를 받았습니다.
6,Google 사용자,"<div class=""LVQB0b""><div class=""QoPmEb""></div><div><span class=""X43Kjb"">웰컴 저축은행</span><span class=""p2TkOb"">2021년 3월 5일</span></div>Google Play 사용자님, 안녕하세요. 웰컴디지털뱅크입니다.
웰컴디지털뱅크를 사용하면서 느끼신 소중한 의견을 남겨주셔서 감사합니다.
먼저 이용에 불편을 드려 죄송합니다.
웰컴저축은행은 더 나은 속도와 서비스를 개선하기 위해 힘쓰고 있습니다. 빠른 시일 내 보다 더 편리하게 이용하실 수 있도록 모든 노력을 기울이겠습니다.
앱 재접속 후에도 동일한 증상이 계속된다면,
정확한 상황 확인을 위하여 번거로우시더라도 대표 상담 번호 1661-9400 (영업일 09:00 ~ 18:00)로 연락 부탁드립니다.
문의하신 내용에 대해 친절하고 자세한 안내 받아보실 수 있습니다.
감사합니다.</div>", 업뎃하고 나서 로그인하고 새로운 어쩌구 광고 뜨고 아무리 닫기 눌러도 먹통이고 몇번째 이러는지 모르겠네요 급하게 돈 이체할 사람들 어쩌라고 이럽니까? 진짜 짜증나네,2021년 3월 2일,2,별표 5개 만점에 1개를 받았습니다.
7,장송미,"<div class=""LVQB0b""><div class=""QoPmEb""></div><div><span class=""X43Kjb"">웰컴 저축은행</span><span class=""p2TkOb"">2021년 3월 5일</span></div>장송미님, 안녕하세요. 웰컴디지털뱅크입니다.
웰컴디지털뱅크를 사용하면서 느끼신 소중한 의견을 남겨주셔서 감사합니다.
로그인 과정에서 발생한 오류로 인해 서비스 이용에 불편을 드려 죄송합니다.
당시 어플 동시 접속 이용자 수가 집중되어 일시적으로 일어난 현상으로, 웰컴저축은행은 앱 속도를 개선하기 위해 힘쓰고 있습니다. 빠른 시일 내 편리하게 이용하실 수 있도록 모든 노력을 기울이겠습니다.
앱 재접속 후에도 동일한 증상이 계속된다면,
번거로우시더라도 대표 상담 번호 1661-9400 (영업일 09:00 ~ 18:00)로 연락 부탁드립니다.
문의하신 내용에 대해 친절하고 자세한 안내 받아보실 수 있습니다.
감사합니다.</div>", 업데이트후 완전 쓰레기어플 로그인하려면 화면바뀌는데 5분 이체한도 조정하려 신분증 촬영 면허증 민증 인식을 못하는건지 정말 급하게 이체해야하면 낭패봄 정말이지 해도 너무하네,2021년 3월 2일,3,별표 5개 만점에 1개를 받았습니다.
8,Cat Love,"<div class=""LVQB0b""><div class=""QoPmEb""></div><div><span class=""X43Kjb"">웰컴 저축은행</span><span class=""p2TkOb"">2021년 3월 5일</span></div>Cat Love님, 안녕하세요. 웰컴디지털뱅크입니다.
웰컴디지털뱅크를 사용하면서 느끼신 소중한 의견을 남겨주셔서 감사합니다.
앱 속도 문제로 인해 서비스 이용에 불편을 드려 죄송합니다.
당시 어플 동시 접속 이용자 수가 집중되어 일시적으로 일어난 현상으로, 웰컴저축은행은 앱 속도를 개선하기 위해 힘쓰고 있습니다. 빠른 시일 내 편리하게 이용하실 수 있도록 모든 노력을 기울이겠습니다.
앱 재접속 후에도 동일한 증상이 계속된다면,
번거로우시더라도 대표 상담 번호 1661-9400 (영업일 09:00 ~ 18:00)로 연락 부탁드립니다.
문의하신 내용에 대해 친절하고 자세한 안내 받아보실 수 있습니다.
감사합니다.</div>"," 앱 업데이트 후(3.0.0) 지문인식도 안되고 끊기고,튕기고..뭐하나 제대로 되는게 없는데..조치 부탁드려요",2021년 3월 2일,1,별표 5개 만점에 3개를 받았습니다.
9,이진홍,"<div class=""LVQB0b""><div class=""QoPmEb""></div><div><span class=""X43Kjb"">웰컴 저축은행</span><span class=""p2TkOb"">2021년 3월 5일</span></div>이진홍님, 안녕하세요. 웰컴디지털뱅크입니다.
웰컴디지털뱅크를 사용하면서 느끼신 소중한 의견을 남겨주셔서 감사합니다.
앱 속도 문제로 인해 서비스 이용에 불편을 드려 죄송합니다.
당시 어플 동시 접속 이용자 수가 집중되어 일시적으로 일어난 현상으로, 웰컴저축은행은 앱 속도를 개선하기 위해 힘쓰고 있습니다. 빠른 시일 내 편리하게 이용하실 수 있도록 모든 노력을 기울이겠습니다.
앱 재접속 후에도 동일한 증상이 계속된다면,
번거로우시더라도 대표 상담 번호 1661-9400 (영업일 09:00 ~ 18:00)로 연락 부탁드립니다.
문의하신 내용에 대해 친절하고 자세한 안내 받아보실 수 있습니다.
감사합니다.</div>", 업뎃이후 동시접속자를 늘리던지..로그인부터 메뉴실행까지 먹통 ...은행거래 이렇게 불안정해도 되는겁니까?,2021년 3월 2일,1,별표 5개 만점에 1개를 받았습니다.
