,author,developer_reply,review,review_date,reviewer_ratings,star
0,풀메탈,," 저는 잘 사용하고 있어요. 근데 건의할게 있어요. 이체할때 실시간 잔금이 나오면 좋을거 같아요. 예를들면 통장 잔고가 10이고, 보내는 금액이 5이면 통장잔고5가 바로 보이게요. 통장 잔금을 딱 이만큼만 남기고 싶을때 엄청 편할거 같아요.",2021년 2월 21일,54,별표 5개 만점에 4개를 받았습니다.
1,김영후,," 자주쓰는 계좌 등록이 없어서 매달.새로작성. 관리비,세금. 국세 자동이체는 전혀안되는 은행 제발 분발좀 다른은행으로 주거래처 교체예정 아! 이체한도를 올리려니 뭐그렇게 까다롭게 구는지 내통안내돈도 허락받고 보내야하고...아직 불편함이 많은금용업체입니다",2021년 2월 22일,52,별표 5개 만점에 2개를 받았습니다.
2,혜지,, 모바일 앱 로그인이 되지않아 고객센터 안내 받아 앱 삭제후 재설치하는데 재설치 조차 안되네요. 당장 빨리 사용해야하는데. 답답하고 짜증나네요. 일요일이라 고객센터도 제대로 연결안되며 담당 부서가 아니라 자세히 모른다는 답변뿐. 당장 급하게 사용해야하는데 지금 3시간째 앱 때문에 애 먹고 있네요 로그인 되면 다 이체시키고 다신 사용 안하려고 합니다. 앱 로그인조차 안되고 안내도 제대로 되지않는데 급한사람은 어떡하라는겁니까.,2021년 2월 7일,51,별표 5개 만점에 1개를 받았습니다.
3,PrADᅡ KᅵllᄐR,," 계좌송금시, 금액부터 적는게 아니라 받을사람 계좌정보부터 쓰고 확인한 후에 보낼 금액 적으면 오송금으로 인한 불편을 줄일 수 있을거라 생각됩니다. 비대면금융의 선두주자인 카카오 뱅크가 솔선수범해주기 바랍니다.",2021년 2월 14일,53,별표 5개 만점에 3개를 받았습니다.
4,Krystal Loveya,," 갤s10e one ui 3.0 업데이트 이후 루팅된 폰으로 인식해서 정상접속이 차단되었습니다. 어떻게 해야 할까요? 카뱅으로 처리해야할 문제들이 있는데, 갑자기 이렇게 되니 정말 당황스럽고 어이가없네요..;;",2021년 2월 4일,51,별표 5개 만점에 1개를 받았습니다.
5,고현진,, 카카오뱅크 깔끔하고 좋아요 하지만 아쉬운 부분이 많이 있습니다 체크카드 도착하기 전까지 사용하고 싶어도 못하는 부분이 아쉽고 실망입니다 체크 도착하기 전까지 온라인으로 삼성페이 간편결제 등록할 수 있게 만들면 좋겠습니다,2021년 2월 11일,53,별표 5개 만점에 3개를 받았습니다.
6,허정현,, 밑에도 저랑 같은 증상인분 있는데 s10 5g고 잘 사용하다가 오늘 사용할려니까 루팅기기라고 접속이 안돼요 루팅하지도 않고 하는법도 모르는데 하 앱을 못 켜니까 고객센터문의도 못하고 이거 언제 고치나요,2021년 2월 15일,51,별표 5개 만점에 1개를 받았습니다.
7,_미우,, 디자인이 예뻐서 좋아요 노랑색깔을 여러가지 색으로 바꿀수있고 계좌 제목도 바꿀수있고 < 이 두가지는 업뎃해서 절대바꾸시지 않았음 좋겠어요,2021년 2월 20일,55,별표 5개 만점에 5개를 받았습니다.
8,DJ Oh,, 이체할때 일시적인 오류로 안된다고 몇시간동안 이체 못하는경우있습니다. 다시 삭제하고 인증해야되는 경우도 있고요. 진짜 잘쓰다가도 너무 열받네요. 지금도 그러고있어서 리뷰씁니다,2021년 2월 6일,52,별표 5개 만점에 2개를 받았습니다.
9,양손볼러tv.,, 카메라인식이 안되면 직접입력란도 만들어주세요 카메라가 고장나서 로그인을 할수가 없네요 돈이 다 그안에있는데 카드도 분실상태라 완전 돈이 묶여있습니다 꼭 답장바랍니다,2021년 2월 11일,52,별표 5개 만점에 2개를 받았습니다.
10,김현준,, 미니카드에 카카오페이로 돈을 넣었는데 대중교통을 이용할때 잔액이 부족하다고 하더라고요 친구한테 물어보니 편의점에서 버스카드 충전을해야 쓸수있다고하는데 어떤 방식으로 충전하더라도 버스비도 되고 편의점 결제도 되도록 바꿔주시면 좋을거 같습니다,2021년 2월 1일,53,별표 5개 만점에 3개를 받았습니다.
11,Cicada,, 폰 업데이트하고 루팅어쩌고하면서 실행 안되시는 분들 카카오뱅크 삭제하고 다시깔아서 인증하면 실행됩니다.,2021년 2월 23일,51,별표 5개 만점에 1개를 받았습니다.
12,노진용,," 예전에 만든계좌 비밀번호,패턴 모두 잊어버려서 본인인증 다하고 신분증 사진도 인증 다 했는데 마지막에 영상통화를 해야한다해서 3번씩이나 요청을 했는데 인증도 안들어오고 아무런 조치가 없네요 이건 그냥 뭐 쓰지말라는건가요? 일부러 고객센터 업무시간에도 인증요청을 했는데 아무런 조치가 없네요^^",2021년 2월 6일,51,별표 5개 만점에 1개를 받았습니다.
13,쮸쮸,, 학생증으로 미니 인증 비밀번호 재설정 할 수 있게 해주세요 신분증도 없고 계좌도 없어서 잃어버린 비밀번허 재설정이 불가능하네요 진위 여부는 영상통화로 확인이 가능하잖아요,2021년 2월 8일,52,별표 5개 만점에 2개를 받았습니다.
14,악도,, 비밀번호 및 보안 패턴을 만들었음에 카톡 계정으로 하려는데 다시 만들어라 및 일치하지 않습니다는 대체 뭔가요? 이부분 수정바랍니다,2021년 2월 9일,51,별표 5개 만점에 1개를 받았습니다.
15,임기성,, 카뱅카드 인증비밀번호를 까먹었는데 여권이랑 개인카드가없어서 못바꾸고있네요 전화번호나 다른 방법으로 바꿀수있으면 좋겠습니다,2021년 2월 5일,55,별표 5개 만점에 5개를 받았습니다.
16,이름,, 쿠팡이라는 앱에서 결제하려고 하는데 비밀번호도 맞게 했는데 해당계좌상태이상으로 결제가 안된다네요 이럴때 어떡하나요ㅜ,2021년 2월 11일,51,별표 5개 만점에 1개를 받았습니다.
17,계공이,, 계좌 만드려고 실명인증 하는데 자꾸 정보가 일치하지 않다고 떠요 이름이랑 주민번호 확실하게 맞는데; 아 개짜증나네,2021년 2월 14일,51,별표 5개 만점에 1개를 받았습니다.
18,전현민,, 물건이네요. 같지만 다른은행. 사용자 경험 너무좋습니다.,2021년 2월 9일,55,별표 5개 만점에 5개를 받았습니다.
