,author,developer_reply,review,review_date,reviewer_ratings,star
0,김지은,," 이율 좋고, 앱도 깔끔하고 간편해요^^ 한눈에 보기 쉬워요. 단, 예적금 가입시 자동이체일이 가입시점으로 자동설정되는 게 안타깝네요. 자동이체일을 변경했으면 좋겠어요^^",2021년 2월 18일,17,별표 5개 만점에 5개를 받았습니다.
1,Eden K,," 친구추천 이벤트도 해보려고 하는데 5번들어가면 5번 다 렉먹은거처럼 화면이 멈추고 이동이 불가능한채 앱을 아예종료시켜야만 한다. 화면 구성이나 우대조건 같은경우에도 보거나 조작하기 어려운 인터페이스..다른 저축은행앱들과 비교했을 때 ux,ui면에서는 좀 많이 떨어지는 앱.",2020년 12월 27일,46,별표 5개 만점에 2개를 받았습니다.
2,ᄒᄌᄒ,," 웰컴앱 귀엽고 젊어져서 좋아요!! 그런데 앱내부?를 자꾸 안바꾸면 좋겠습니다~ 은행앱은 빠르고 간편한게 최고인데! (한번 막히면 괜히 화가납니닼ㅋ) 익숙해질만하면 안에 인터페이스가 바뀌어서 나름대로 젊은?저도 어쩌다 보면 엇? 그메뉴가 어디갔지? 할때가 있습니다아~ 저축은행하면 왠지 어르신이미지아 떠오르는데, 웰컴 앱은 촌스럽지 않고 귀여워서 창피하지않아요~ ㅋㅋ",2021년 1월 4일,50,별표 5개 만점에 5개를 받았습니다.
3,알로와 워니,, 예금계좌의 현재이자 금액이 타 은행어플처럼 나왔으면 좋겠네요. 이자율도 타사에비해 높은데 왜 숨기는지 모르겠네요.(내가 못찾는건가요? 찾을수가없네요..있어도 찾기쉽게해야합니다.) 그런게 신뢰도되고 어플하는 재미인데 전반적으로 정보가 많이 부족해 보이네요.,2021년 1월 26일,38,별표 5개 만점에 3개를 받았습니다.
4,Ungki Nam,, 앱으로 편리하게 사용중입니다. 이젠 저축은행도 1금융과 별반 다를게 없네요. 신용점수 조회까지 가능하니 유료로 하지마시고 웰컴뱅가입해보세요. 절대 후회하지 않습니다. 강추,2021년 2월 7일,9,별표 5개 만점에 5개를 받았습니다.
5,풀잎,, 개발자모드디버깅에서 USB디버깅을 해제하라는데 확인을 눌러도 계속 안내팝업만 뜨고 설정으로 넘어가지도 않고 취소를 누르면 앱이 꺼져버리고.. 아무것도 못하겠네요 뭘어떡하라는건지 해결좀 해주시죠?,2021년 2월 7일,7,별표 5개 만점에 1개를 받았습니다.
6,Jini Park,, 보기쉽게 앱내용도 잘되어있고. 이자도 요즘같은 시기에 높은편이여서 자주 애용중입니다. 앞으로도 잘부탁드려요~^^,2021년 2월 15일,1,별표 5개 만점에 5개를 받았습니다.
7,어이없네,, 인터페이스 깔끔하고 귀엽고 쾌적함 안그래도 적금 옮겨야했는데 쿠키이벤트까지 하고 운이 좋지 뭐얌 계좌이체에서 조금 애먹었는데 모든 저축은행은 전산통합이 돼있다니까 나처럼 헤매는 분들은 '저축은행'으로 계좌이체하시길~,2021년 1월 28일,13,별표 5개 만점에 5개를 받았습니다.
8,AHA S,, 별 한개도 아깝다 주택담보대출 주소를 적는데 주소를 못찾겠다고 한다? 아니 다른 어플들은 잘도 찾는데 이건 도대체 왜 이럽니까? 완전 황당! 혹시나 해서 조회좀 해볼려고 했는데 시간만 다 잡아먹고 돌아삐!! 절대 이곳에서 알아보지 마세요~,2020년 12월 16일,17,별표 5개 만점에 1개를 받았습니다.
9,푸른하늘,," 신분증찍는게 여타앱보다 많은 인내심을 요구함, 시스템오류 메세지가 자주 뜨고, .. 사이다, 뱅뱅뱅 이랑 비교되네요 지속적인 개선, 안정화작업이 필요해 보이네요, 고금리 아니면 별 한개짜리 앱이네요!!",2020년 12월 24일,16,별표 5개 만점에 3개를 받았습니다.
