,author,developer_reply,review,review_date,reviewer_ratings,star
0,지현우,, 한달째 로그인 오류 덕분에 사용하지 못하고 있네요 지인들과 연락도 안되고 이게 뭐하는겁니까? 아무짓도 안했는데 비활성화 시키질 않나 정말 최악중에 최악이네요 이 문제때문에 핸드폰 대리점에도 문의 하였습니다 로그인 오류 개선 부탁드리고 이딴식으로 회사운영할거면 걍 하지 마세요,2021년 2월 14일,51,별표 5개 만점에 1개를 받았습니다.
1,감수성art채널,, 다른계정 로그인이 안됩니다 본인 비밀번호를 맞게 입력해도 메일주소가 다르게 나오고 메일변경도 안되고 인증번호 메세지도 않오고 본인확인해도 안도는건 왜? 보안이 너무 복잡함 로그인이 안되서 새계정만들기 해야되고 그러다 보면 계정이 3~5개정도 되요 그룹 가입하려고 해도 아랍어로 되어 있고 그룹찾기 얼마 나오지도 않고 왜 일시중지?그룹에 광고 하다가 갑자기 왜? 해킹에 그렇게 약해요? 하기 더티하게 만들어놨어요,2021년 2월 9일,51,별표 5개 만점에 1개를 받았습니다.
2,전지현,, 번호가바뀌면서쓰던계정과연동이되지않고잇습니다.로그인코드를문자로보내시는거같은데 이미번호가바뀐상태에서그전번호로인증코드를보내시는데이부분에대해해결해주셔야될꺼같아요 그리고그전에이번호사용하던분인거같은데 제계정이아닌계정에번호문자인증이된다고로그인이되는거위험한거같구요 계정삭제안하고저도그분처럼놔두면나중에제가썻던번호쓰시는분이제계정에들어갈텐데그건좀아닌거같기도하네요 이사실을알아버린이상불편해서라도조치해주셧으면합니다 50억명이상이다운로드를한어플인데이부분이개선이되지않는다면계속피해를보는사람이생길부분이고요 개인정보유출이될수잇는사안이라고생각이드네요 빠른시일내에연락바랍...전체 리뷰번호가바뀌면서쓰던계정과연동이되지않고잇습니다.로그인코드를문자로보내시는거같은데 이미번호가바뀐상태에서그전번호로인증코드를보내시는데이부분에대해해결해주셔야될꺼같아요 그리고그전에이번호사용하던분인거같은데 제계정이아닌계정에번호문자인증이된다고로그인이되는거위험한거같구요 계정삭제안하고저도그분처럼놔두면나중에제가썻던번호쓰시는분이제계정에들어갈텐데그건좀아닌거같기도하네요 이사실을알아버린이상불편해서라도조치해주셧으면합니다 50억명이상이다운로드를한어플인데이부분이개선이되지않는다면계속피해를보는사람이생길부분이고요 개인정보유출이될수잇는사안이라고생각이드네요 빠른시일내에연락바랍니다.,2021년 1월 22일,51,별표 5개 만점에 1개를 받았습니다.
3,윤재형,," 비밀번호를 까먹어서 SMS로 인증코드 확인할려고 ""다음"" 눌렀는데 처음화면으로 돌아가는 기이한 현상이 나타나고 있네요. 이거 너무 짜증나서 페북 삭제할려해도 계정 땜에 못하고 진짜 열받네요🖕",2021년 2월 3일,51,별표 5개 만점에 1개를 받았습니다.
4,유진,, 제가 이거 한적이 있었는데 깔았다가 지웠거든요 그리고 전화번호도 바꿨어요 그리고 다시 깔았는데 계정이 연동이 안되서 새계정을 만들려고 했는데 계속 안되네요..이것좀 고쳐주세요..제 친구들 다 이거 해서..저도 하려고 했는데 안되니..,2021년 2월 13일,52,별표 5개 만점에 2개를 받았습니다.
5,j j,," 최악입니다. 원래있던 계정이 갑자기 로그인이 안되고 (아이디 비번 모두 맞음) 오류가 난건지 같은 아이디로 회원가입이 또 됩니다ㅋㅋㅋㅋㅋ 결국 원래 계정은 들어가지도 못하는 상태가 됐고요. 그 계정을 없애고 싶어도 못없앱니다. 개인 고객센터도 없는데다가 계정에 엑세스할 수 없다고 하면 그냥 아이디 비번찾기 하라는게 끝.. 아니 아이디가 걍 없어졌다고요 그 아이디로 다시 회원가입이 됐다니까요?ㅋㅋㅋㅋㅋ 계정은 멀쩡해서 더 화나요 차라리 해킹이었음 신고라도 하지... 그 계정 삭제라도 하고싶어서 사칭, 해킹 등등 신고할 수 있는거로 다...전체 리뷰최악입니다. 원래있던 계정이 갑자기 로그인이 안되고 (아이디 비번 모두 맞음) 오류가 난건지 같은 아이디로 회원가입이 또 됩니다ㅋㅋㅋㅋㅋ 결국 원래 계정은 들어가지도 못하는 상태가 됐고요. 그 계정을 없애고 싶어도 못없앱니다. 개인 고객센터도 없는데다가 계정에 엑세스할 수 없다고 하면 그냥 아이디 비번찾기 하라는게 끝.. 아니 아이디가 걍 없어졌다고요 그 아이디로 다시 회원가입이 됐다니까요?ㅋㅋㅋㅋㅋ 계정은 멀쩡해서 더 화나요 차라리 해킹이었음 신고라도 하지... 그 계정 삭제라도 하고싶어서 사칭, 해킹 등등 신고할 수 있는거로 다 해봤지만 답변은 맨날 똑같이 문제 없는 계정이라고 오고.. 최악.. 게다가 개인정보는 어떻게 보관하는지 주변 친구들도 다 해킹당했다고 하네요ㅋㅋㅋ 저도 원래 계정 찾으려고 새로 판 계정 바로 성매매 계정으로 해킹당해서 바로 지우고 한달뒤에 새로 회원가입 또 했습니다^^ 앱 관리좀 잘 해주세요 ㅠ",2021년 2월 10일,51,별표 5개 만점에 1개를 받았습니다.
6,Crystal,," 스토리 게시물 올리면 순서 바꿀 수 있게 해주면 좋겠어요. 24시간 지나면 사라지는 건 먼저 올린 거 먼저 사라지고요. 그리고 대표 컬렉션도 날짜 순으로 말고, 원하는대로 바꿀 수 있게 하면 좋을 것 같아요",2021년 2월 13일,54,별표 5개 만점에 4개를 받았습니다.
7,윤하림,, 핸드폰을 갤럭시s21+로 바꿨습니다. 페이스북 키고 스크롤을 내리다보면 자꾸 혼자 꺼지는 상황이 발생합니다. 갤럭시 유저분들 참고하세요. 호환성 문제인지는 모르겠지만 빠른 조치 부탁드립니다.,2021년 2월 1일,53,별표 5개 만점에 3개를 받았습니다.
8,Vladimir Hwang,, 비밀번호를 까먹어서 찾으려고 별짓을 다해도 못찾음. 앱 삭제 후 다시 깔고 등록계정 삭제한 후 비밀번호 찾기를 해도 코드 메시지로 보낸다는 말만하지 개뿔도 오지도 않음. 그냥 있는 그대로 다시 로그인해서 게시글 다 지우고 잠수타는게 답. 부디 바이든에 의해 기업 해체 당하고 중소기업으로 전락하길.,2021년 1월 27일,51,별표 5개 만점에 1개를 받았습니다.
9,백승진,, 갤럭시s21 시리즈로 바꾸고 나서 자꾸 튕기는 현상이 발생하네요. 다른 리뷰 보니까 저랑 같은 현상을 겪는 분들 많으신 것 같은데 빨리 조치 부탁드립니다. 진짜 이용할 때마다 너무 불편합니다.,2021년 2월 8일,51,별표 5개 만점에 1개를 받았습니다.
